Designator,Mid X,Mid Y,Rotation,Layer
C1,142.284888,-77.47,0.0,top
C10,175.895,-95.25,180.0,top
C11,160.795,-86.36,180.0,top
C12,170.675,-70.485,180.0,top
C13,173.99,-70.485,0.0,top
C14,155.575,-90.805,0.0,top
C15,184.15,-95.25,0.0,top
C16,155.575,-97.155,180.0,top
C2,139.085,-82.55,0.0,top
C3,175.895,-55.245,90.0,top
C5,184.785,-55.245,90.0,top
C6,169.545,-97.155,90.0,top
C7,137.18,-89.535,0.0,top
C8,137.16,-95.23,90.0,top
C9,170.815,-88.9,180.0,top
D1,135.89,-73.66,0.0,top
D2,132.715,-86.995,90.0,top
D3,200.025,-90.17,90.0,top
D4,182.88,-90.17,180.0,top
D5,182.88,-87.63,0.0,top
J1,149.86,-52.705,90.0,top
J2,196.85,-96.52,90.0,top
J3,199.385,-77.485,0.0,top
R1,135.89,-70.485,0.0,top
R10,199.511002,-62.623989,270.0,top
R11,190.473094,-62.589558,270.0,top
R12,181.504046,-62.572343,270.0,top
R13,172.534998,-62.572343,270.0,top
R14,163.56595,-62.572343,270.0,top
R15,154.579686,-62.589558,270.0,top
R16,145.593423,-62.572343,270.0,top
R17,136.624375,-62.589558,270.0,top
R18,147.955,-83.82,270.0,top
R19,155.575,-95.25,0.0,top
R2,129.54,-86.995,270.0,top
R20,155.575,-92.71,180.0,top
R21,195.58,-92.3525,90.0,top
R3,149.86,-56.515,0.0,top
R4,201.93,-84.455,270.0,top
R5,175.895,-86.995,0.0,top
R6,175.895,-88.9,180.0,top
R7,164.465,-86.36,180.0,top
R8,193.04,-92.3525,90.0,top
R9,175.895,-90.805,180.0,top
RV1,195.58,-54.68,0.0,bottom
RV2,165.1,-54.68,0.0,bottom
RV3,134.62,-54.68,0.0,bottom
SW1,196.487144,-63.5,0.0,bottom
SW2,187.506428,-63.5,0.0,bottom
SW3,178.525714,-63.5,0.0,bottom
SW4,169.545,-63.5,0.0,bottom
SW5,160.564286,-63.5,0.0,bottom
SW6,151.583572,-63.5,0.0,bottom
SW7,142.602858,-63.5,0.0,bottom
SW8,133.622144,-63.5,0.0,bottom
U1,133.35,-78.105,0.0,top
U2,130.175,-95.25,0.0,top
U3,180.34,-55.29,90.0,top
U4,163.185,-93.355,270.0,top
U5,168.285,-76.825,90.0,top
